group,horizon,n,mean,median,q10,q25,q75,q90,p_rise,fwd_realized_vol_mean
stable_low,1,1341,0.007524749428556555,0.0012617985402640919,-0.06369431781739188,-0.03200276993667339,0.03786189768058579,0.08279050027079116,0.5078299776286354,0.04684384762086114
post_transition_low,1,1218,0.0019750807462669165,-0.006398373137166402,-0.07258204720501293,-0.03857090282676645,0.034325992218710355,0.08060889649797823,0.4466338259441708,0.04965273943088123
stable_high,1,982,-0.013336548547670286,-0.02050477037005649,-0.12641047959300106,-0.0724937806302236,0.032292996191628065,0.10673620716760504,0.3818737270875764,0.07461659941940407
stable_low,5,1341,0.025123841760386362,0.010937636106092885,-0.11449899839736943,-0.05551160660496768,0.09184151427153564,0.18540318192914018,0.5384041759880686,0.0604412263343117
post_transition_low,5,1218,0.01591217085230652,-0.004072096855890717,-0.14135199024296038,-0.07450872005747355,0.08433666194812117,0.18599225062135422,0.48111658456486045,0.06285282213039371
stable_high,5,978,-0.0561430279936165,-0.06879216470465876,-0.2665992293777554,-0.1687440233017744,0.039634279618232404,0.16176474192622892,0.31901840490797545,0.08315827605840799
stable_low,10,1337,0.04065087731609897,0.02509357909603782,-0.13540656130009204,-0.06628719806875472,0.12595241200743645,0.2433919866823612,0.5744203440538519,0.06601837004946064
post_transition_low,10,1218,0.023603058348101964,-0.0022513575192679713,-0.18612184324200184,-0.09673486674618825,0.10126699969899455,0.2590588343859028,0.49261083743842365,0.0676125429341439
stable_high,10,977,-0.09015279307002202,-0.10629958096091618,-0.33055433596745115,-0.22225563617181399,0.025170723758798808,0.17019226475337446,0.28761514841351077,0.08012719763967291
stable_low,21,1326,0.05573752097152576,0.04346679181447577,-0.19436950328341718,-0.0789484585924114,0.1766398284109516,0.30609609133924565,0.581447963800905,0.07175802153329013
post_transition_low,21,1218,0.010020028183802356,-0.017494984701678984,-0.2460275223519351,-0.13539129121008486,0.11641542698721685,0.28562070481065394,0.45894909688013136,0.070542114754495
stable_high,21,977,-0.10045496307894908,-0.13070508169693484,-0.4263247023823134,-0.2785610796135818,0.04507366909475374,0.24308330887803722,0.2998976458546571,0.07836249028108673
